Wavelength,Albedo
0.167473728,2.4298858e-07
0.1676970263,2.4905311e-07
0.1679206224,2.5219332e-07
0.1681445165,2.6041053e-07
0.1683687092,2.7155335e-07
0.1685932008,2.7609014e-07
0.1688179918,2.8192504e-07
0.1690430824,2.8850481e-07
0.1692684732,3.0400596e-07
0.1694941645,3.1870795e-07
0.1697201567,3.191915e-07
0.1699464503,3.3761794e-07
0.1701730455,3.4728729e-07
0.1703999429,3.6670694e-07
0.1706271429,3.6277954e-07
0.1708546457,3.7897071e-07
0.1710824519,3.7971159e-07
0.1713105618,3.9093097e-07
0.1715389759,4.0859154e-07
0.1717676946,4.2272835e-07
0.1719967182,4.5286319e-07
0.1722260471,4.5399079e-07
0.1724556818,4.6277773e-07
0.1726856228,4.859412e-07
0.1729158702,5.0635039e-07
0.1731464247,5.1234042e-07
0.1733772866,5.3800355e-07
0.1736084564,5.6736046e-07
0.1738399343,5.9349851e-07
0.1740717209,6.2588521e-07
0.1743038165,6.6195875e-07
0.1745362216,7.0073592e-07
0.1747689366,7.394972e-07
0.1750019618,7.6552664e-07
0.1752352978,9.7861813e-07
0.1754689448,1.3299305e-06
0.1757029034,2.0889946e-06
0.1759371739,4.9462836e-06
0.1761717568,8.5099721e-06
0.1764066525,9.6545391e-06
0.1766418614,1.1175968e-05
0.1768773839,1.3297092e-05
0.1771132204,1.6459442e-05
0.1773493713,2.1679559e-05
0.1775858372,3.1926834e-05
0.1778226183,6.1197415e-05
0.1780597151,0.00020337801
0.1782971281,0.0002246681
0.1785348576,0.00025109328
0.1787729041,0.00028475637
0.1790112679,0.00032958133
0.1792499496,0.00039235808
0.1794889495,0.00048542513
0.1797282681,0.0006382885
0.1799679058,0.00093449767
0.180207863,0.0010790626
0.1804481402,0.0011956017
0.1806887377,0.0013387284
0.180929656,0.0015184583
0.1811708956,0.0017499924
0.1814124568,0.0020699926
0.18165434,0.0025334751
0.1818965458,0.0032601294
0.1821390746,0.0038676849
0.1823819267,0.0041511494
0.1826251026,0.0044789314
0.1828686027,0.0048285535
0.1831124275,0.0052380277
0.1833565774,0.0057012476
0.1836010528,0.0062475779
0.1838458542,0.0069318105
0.184090982,0.0075529075
0.1843364367,0.0078076131
0.1845822186,0.0080538549
0.1848283282,0.0083062012
0.185074766,0.008559489
0.1853215324,0.0088225297
0.1855686277,0.0090957644
0.1858160526,0.0093993538
0.1860638073,0.0097018641
0.1863118924,0.0098140002
0.1865603082,0.0099060884
0.1868090553,0.009989554
0.1870581341,0.010079695
0.1873075449,0.010163206
0.1875572883,0.01025099
0.1878073647,0.010357133
0.1880577745,0.01044781
0.1883085182,0.01050391
0.1885595962,0.010543756
0.188811009,0.010582815
0.189062757,0.010620024
0.1893148407,0.010662641
0.1895672605,0.010697217
0.1898200168,0.01073478
0.1900731102,0.010764749
0.190326541,0.010755834
0.1905803097,0.010742369
0.1908344168,0.010733783
0.1910888627,0.01072613
0.1913436479,0.010711262
0.1915987727,0.010689783
0.1918542377,0.010675893
0.1921100434,0.01065857
0.1923661901,0.010648708
0.1926226784,0.010635128
0.1928795086,0.010631247
0.1931366813,0.010626569
0.1933941969,0.010604942
0.1936520558,0.01058086
0.1939102585,0.010552008
0.1941688055,0.010526144
0.1944276973,0.01050092
0.1946869342,0.010475961
0.1949465168,0.010451268
0.1952064455,0.010430607
0.1954667207,0.010424016
0.195727343,0.010417931
0.1959883128,0.010411822
0.1962496306,0.010409526
0.1965112968,0.010408031
0.1967733118,0.010407121
0.1970356762,0.010406807
0.1972983905,0.010402286
0.197561455,0.010397932
